epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,605.733,0.85439,1.15096,1.09658,0.93995,0.92855,0.97459,0.78871,0.75815,0.93953,0.99013,0.000663399,0.000663399,0.000663399
2,1135.2,0.89058,0.82739,1.10015,0.92785,0.98305,0.98696,0.80471,0.73035,0.72297,0.95293,0.00130812,0.00130812,0.00130812
3,1646.1,0.87959,0.73657,1.09448,0.95814,0.96997,0.98441,0.82214,0.64802,0.64962,0.8844,0.00193084,0.00193084,0.00193084
4,2204.39,0.87464,0.69776,1.09123,0.99089,0.92205,0.97089,0.79178,0.7418,0.57811,0.94763,0.001901,0.001901,0.001901
5,2719.84,0.81221,0.62966,1.06692,0.99609,0.97458,0.99356,0.83174,0.65297,0.49968,0.89219,0.001868,0.001868,0.001868
6,3231.35,0.81899,0.61958,1.07539,0.97759,0.98305,0.99432,0.84575,0.59387,0.4279,0.87461,0.001835,0.001835,0.001835
7,3773.3,0.7834,0.56739,1.05038,0.98302,0.98128,0.99393,0.8644,0.57134,0.43368,0.86307,0.001802,0.001802,0.001802
8,4281.22,0.75441,0.5397,1.04941,0.99129,0.96503,0.99036,0.84755,0.58546,0.41075,0.85754,0.001769,0.001769,0.001769
9,4803.21,0.75527,0.53049,1.04639,0.99875,0.98305,0.99407,0.85517,0.58571,0.39776,0.86938,0.001736,0.001736,0.001736
10,5305.69,0.71506,0.51444,1.02525,0.98267,0.98305,0.99458,0.85105,0.60511,0.39032,0.87878,0.001703,0.001703,0.001703
11,5847.75,0.71878,0.49921,1.02472,0.98107,0.9661,0.99319,0.88439,0.55224,0.37158,0.85333,0.00167,0.00167,0.00167
12,6367.19,0.69434,0.48267,1.01695,0.98195,1,0.99466,0.8849,0.53086,0.36113,0.84766,0.001637,0.001637,0.001637
13,6892.72,0.68264,0.46697,1.01418,0.99026,0.99153,0.99492,0.88433,0.54445,0.346,0.85025,0.001604,0.001604,0.001604
14,7441.98,0.67964,0.47621,1.01885,1,0.99017,0.995,0.89317,0.51842,0.32363,0.84504,0.001571,0.001571,0.001571
